Material,Dopant,Temperature_K,Ion_Mobility_cm2_Vs,Conductivity_Factor,Diffusion_Barrier_eV,Jump_Frequency_Hz,Path_Length_Angstrom,Ion_Phonon_Coupling,Local_Distortion_Index,Channel_Volume_Change_Percent,Defect_Ion_Interaction_eV,Entropy_Change_J_molK,Enthalpy_Change_kJ_mol,Gibbs_Free_Energy_kJ_mol,Phonon_Scattering_Rate
Li6PS5Br,Al,300,0.0005074493235729938,1.0332018998800885,0.1941548595334462,5437231401454.093,4.580392369702605,0.3517223009707864,0.25532114900375447,0.2009662171128042,-0.036294143443099475,0.4442269983195467,6.676065533369355,6.542797433873491,0.6853706758566086
Li6PS5Br,Al,350,0.0005557213176891847,1.005672397996085,0.20646859732982603,5577742280307.104,4.984224162725536,0.3829825074461055,0.24959866878576467,0.1943706257041006,0.06733760419156166,0.027912326940047385,2.5469107572647496,2.537141442835733,0.7219821003704655
Li6PS5Br,Al,400,0.00048268642175788124,1.0240925811677617,0.18730323093301846,5146290153936.135,4.8547749673688365,0.3454777305828171,0.25802663901755934,0.2509207817310262,-0.05214534293676853,0.2963263167878419,1.4258823042763142,1.3073517775611778,0.678312680860219
Li6PS5Br,Al,450,0.0005100668986739358,1.0520420961294024,0.19909395324880225,5558955064663.844,4.655463631931281,0.38462707967708254,0.21635499159492183,0.25090695440785393,-0.07597002490118368,-0.8315797920281193,-3.6769358154168215,-3.3027249090041684,0.6098768743036764
Li6PS5Br,Al,500,0.0005377081370624819,1.0409015432457012,0.21005303587194632,5223160886817.966,4.73525769720878,0.4386585855127519,0.25931645344533133,0.1379232181358598,-0.004287909179025028,-1.17569979788332,-0.5294419063198514,0.058407992621808326,0.7154755030069156
Li6PS5Br,Al,550,0.0004530412334721106,0.994113660221688,0.19627653639740777,4851255120854.063,4.715484614430786,0.4352336725830707,0.23788368189009101,0.07655479480422259,0.06963964247235686,0.7977948756583303,1.8040896318600768,1.3653024502479947,0.8209856769663386
Li6PS5Br,Al,600,0.00045359901180794184,0.9972910610238087,0.17478809714646687,4878344444847.625,4.7208401666930255,0.36932157306123337,0.23021317324580906,0.23500403971978148,-0.07157922961755096,-0.7986254778150796,6.360239339991504,6.8394146266805524,0.7775454789787523
Li6PS5Br,Ba,300,0.0005423961141972207,0.9897798919134909,0.2132214759283261,4412243506856.151,4.662850296499991,0.3784181939872194,0.27602294096743435,0.21491291556285844,-0.010972136292586707,-0.3433866119451931,5.73891060081929,5.841926584402847,0.773284941452775
Li6PS5Br,Ba,350,0.00042290429695864934,1.0126898749035005,0.2108235193271096,5017148094962.362,4.561973578966649,0.3339950310758806,0.22253166699489502,0.20969934022954037,0.052169446600162754,-0.2626061513350504,-1.845155417992046,-1.7532432650247787,0.7690104558358006
Li6PS5Br,Ba,400,0.0005340772052583699,0.9870395304240699,0.21421643090461334,4364588212965.162,4.512660682278869,0.4205285277376242,0.24139992471091118,0.2377863266009462,0.023808611091422884,-1.075285630386575,3.9051180656713727,4.335232317826002,0.7266003672215159
Li6PS5Br,Ba,450,0.0004917432734172831,0.9838553067533901,0.20450686892712053,5459361875082.627,4.593919225080256,0.3614491480977229,0.26637006983846284,0.15488344214106034,-0.07603397300130087,-0.6417566592019038,4.217307810719925,4.506098307360783,0.6724489536437854
Li6PS5Br,Ba,500,0.000473929792223414,0.9666424423515739,0.19936800872421775,4881346519687.642,4.886079282040024,0.3998361678797822,0.2560059952973358,0.21097286444055835,-0.023512921836045603,1.003863080838917,-1.1529005138580526,-1.6548320542775101,0.8086816501848104
Li6PS5Br,Ba,550,0.0005468703435640095,0.9993246971341904,0.20353184425521317,4900559828712.284,4.497077614250627,0.3740472721534367,0.25065977454708754,0.15144186729386297,-0.10968504129817558,1.229317597139254,0.9509710721667497,0.27484639374016,0.7936602512957156
Li6PS5Br,Ba,600,0.0005087631304707471,1.0235783413355404,0.19530065497369137,4661475751641.552,4.6999070380247865,0.3696186678510186,0.26725531566662225,0.2038888708882354,0.000617046405563406,-0.5635714905533276,6.125138568068611,6.463281462400607,0.7456017078813069
Li6PS5Br,Bi,300,0.00043501251357260396,0.977499726271397,0.18805422709207556,4729713630654.658,5.031131331099453,0.3979537866767412,0.2639398974975102,0.23287079486175297,-0.00038972902642994505,0.07054065172069679,3.429905497216323,3.408743301700114,0.6553346658612222
