Material,Dopant,Concentration,Position,Temperature_K,Ion_Mobility_cm2_Vs,Conductivity_Factor,Diffusion_Barrier_eV,Jump_Frequency_Hz,Path_Length_Angstrom,Ion_Phonon_Coupling,Local_Distortion_Index,Channel_Volume_Change_Percent,Defect_Ion_Interaction_eV,Entropy_Change_J_molK,Enthalpy_Change_kJ_mol,Gibbs_Free_Energy_kJ_mol,Phonon_Scattering_Rate
Li7PS3Cl,Mg,0.01,P-site,350,0.0011679998860555253,1.2595645570457252,0.24453432024134036,2345124756793.5493,7.253617341613528,0.3642002605633895,0.3154047612117402,0.10632449833681318,-0.18472647290355815,-9.823295499062597,-34.26832264805765,-30.830169223385738,0.568965307291521
Li7PS3Cl,Mg,0.01,P-site,400,0.0009911977585770676,1.2171086668609128,0.14394449841296314,2690752736122.721,2.659935227692494,0.256393519439084,0.36602920172007986,-0.001849469885447694,0.01907248106951659,4.941922688168006,-16.597759284743006,-18.57452836001021,1.2439349718575716
Li7PS3Cl,Mg,0.01,P-site,600,0.0011408634870026866,1.25767424611857,0.25068490474729843,6879211072763.815,5.1044493232166674,0.19781055706667527,0.07015675999847173,0.10637706049251926,0.4064243280207804,3.3479654986688065,-20.244808619037403,-22.253587918238686,0.4849371597009733
Li7PS3Cl,Mg,0.01,S-site,300,0.0009439547960764755,1.2954025244158665,0.1942376835562504,1091137637989.846,2.9486511848699966,0.5555595656234396,0.24402253098354248,-0.06298304363858856,-0.4045063839909774,4.236012088980711,-64.1144473715999,-65.38525099829411,0.24793586318177566
Li7PS3Cl,Mg,0.02,P-site,600,0.0011454254721590632,1.3529123401124583,0.14860318783382542,3442792580536.7886,4.772269764816158,0.5834494430532589,0.2060934720482142,-0.0018596008943023306,0.13740287994622755,-7.031203979745393,-57.38197372960174,-53.1632513417545,0.2089951549281245
Li7PS3Cl,Mg,0.02,S-site,450,0.000881835810812455,1.2436168643180765,0.05502421873180692,5523203101731.081,5.108302314806152,0.19949903733835564,0.1337316211389063,0.016397397931304514,-0.49432666628894184,-4.42530700388607,-35.88481247316887,-33.89342432142014,0.4573140236213656
Li7PS3Cl,Mg,0.03,Li-site,600,0.001032786231307278,1.2206779957554081,0.2089090596214075,4915757669618.545,2.106854985345209,0.15245174706896922,0.2982026809811034,0.1788485811814502,-0.4941846878338597,-6.787649282717929,-32.827107830898846,-28.75451826126809,0.889931641042709
Li7PS3Cl,Mg,0.03,S-site,450,0.0011737640335224098,1.2814761888327342,0.25674007927447234,10742030545980.025,3.876540316001726,0.5207760715472736,0.0525447061407581,0.15162611480191238,-0.2821407650343503,-9.724690022621365,-54.21243988740912,-49.836329377229504,0.8846652832151171
Li7PS3Cl,Mg,0.03,Interstitial,450,0.0011792739081854951,1.3385532624382166,0.19160851631166806,7319021482816.498,2.524388855692568,0.2798324710450103,0.16899218678049172,-0.04432056575835743,0.23347401880457125,-0.11041096530941541,-56.079195450765404,-56.02951051637617,0.3132990994296899
Li7PS3Cl,Mg,0.03,Interstitial,550,0.001080720547409451,1.289654453039051,0.21167622634764022,8662912236056.917,5.66489090530079,0.476654363168538,0.09547063058044154,0.3177603357628968,0.3885764864937674,-12.142166754294257,42.019102324056,48.69729403891784,0.21495432488359045
Li7PS3Cl,Mg,0.04,S-site,500,0.0007758534731540635,1.2233270606954696,0.16392040851220216,8077161630681.869,2.779372348043118,0.08037619309323873,0.15382687360809108,0.27256761558526427,-0.31603534074967476,4.243291777772682,57.48561221498011,55.36396632609377,0.17858471365591877
Li7PS3Cl,Mg,0.05,Li-site,550,0.0012936045477674192,1.32520659658407,0.15945765889434965,8161636747179.381,2.5308842392676745,0.46974705781886267,0.08688547348938815,0.4897310554803984,0.30318019424566484,5.532597009018804,-61.46833234856301,-64.51126070352335,0.41400119601231605
Li7PS3Cl,Mg,0.06,S-site,400,0.0008628709182236567,1.3228775270568849,0.22848332931180618,8753501919383.559,3.5547385204634576,0.5527600637533662,0.28979334932671663,0.27039162625917873,-0.42402147855730565,-1.40078062561455,-5.244115216065545,-4.683802965819725,1.0580759490147575
Li7PS3Cl,Mg,0.06,Interstitial,500,0.0006394570910965923,1.2648691064635607,0.29644273970603224,1647704106951.14,3.6015546263630744,0.2824188810372398,0.2006522789192072,0.08843834224887231,0.4442959927866449,5.414465595216512,13.648597172966763,10.941364375358507,0.43250280094544746
Li7PS3Cl,Mg,0.07,Li-site,400,0.0009902307071743709,1.2094837866520949,0.11672874316766539,7006982125921.927,4.128875232189059,0.40839508250416623,0.31761914015409193,0.45092611861375065,-0.1386190598427659,-8.058543694678152,-8.402363877795528,-5.178946399924268,0.2379147303538147
Li7PS3Cl,Mg,0.07,Interstitial,350,0.0005986211087296803,1.2576872370776055,0.19126851369410705,3705579745703.229,2.779613145066645,0.42746423463758454,0.326255197925381,-0.023382026957097134,0.16004002744465673,-2.637850381218492,26.814757596164295,27.73800522959077,0.2989578306313905
Li7PS3Cl,Mg,0.08,Li-site,500,0.001056567438418401,1.3474152353765463,0.15631269438943374,13037398194292.346,6.561139370245179,0.14626542534802894,0.22422622906063475,0.6225023495399973,-0.2829788462826267,3.7893408127808077,22.44800236884458,20.553331962454177,0.24699930224222763
